Daniele,Orientation,1558440317196,345.1468505859375,333.63623046875,11.56950855255127
Daniele,Orientation,1558440317201,345.1468505859375,333.63623046875,11.56950855255127
Daniele,Orientation,1558440317203,345.1468505859375,333.63623046875,11.56950855255127
Daniele,Orientation,1558440317208,345.1468505859375,333.63623046875,11.56950855255127
Daniele,Orientation,1558440317209,346.0188903808594,331.5234680175781,11.19204044342041
Daniele,Orientation,1558440317221,334.74365234375,332.9445495605469,9.219244003295898
Daniele,Orientation,1558440317223,334.74365234375,332.9445495605469,9.219244003295898
Daniele,Orientation,1558440317225,333.0588684082031,332.3900146484375,8.55826187133789
Daniele,Orientation,1558440317228,330.5989074707031,333.0340576171875,8.322663307189941
Daniele,Orientation,1558440317235,328.86669921875,333.1026916503906,7.952165603637695
Daniele,Orientation,1558440317238,327.82098388671875,331.3070983886719,6.579509258270264
Daniele,Orientation,1558440317243,327.7977294921875,330.42718505859375,6.029550075531006
Daniele,Orientation,1558440317247,325.3913879394531,330.09759521484375,5.060218811035156
Daniele,Orientation,1558440317254,320.7147216796875,330.1850891113281,3.5297865867614746
Daniele,Orientation,1558440317255,298.23175048828125,330.1850891113281,3.5297865867614746
Daniele,Orientation,1558440317258,299.56463623046875,329.0476989746094,2.8590073585510254
Daniele,Orientation,1558440317266,297.50299072265625,329.0642395019531,1.4338024854660034
Daniele,Orientation,1558440317268,313.0834655761719,331.07177734375,12.222825050354004
Daniele,Orientation,1558440317274,331.6715393066406,330.611328125,17.790205001831055
Daniele,Orientation,1558440317277,344.2019348144531,329.21990966796875,20.48776626586914
Daniele,Orientation,1558440317286,332.2433166503906,326.27166748046875,15.699263572692871
Daniele,Orientation,1558440317287,323.9904479980469,322.3590087890625,9.988947868347168
Daniele,Orientation,1558440317293,310.47479248046875,325.0189208984375,5.036044597625732
Daniele,Orientation,1558440317297,307.546875,326.4334716796875,4.757838249206543
Daniele,Orientation,1558440317304,309.2929992675781,326.7293395996094,6.0593695640563965
Daniele,Orientation,1558440317307,308.852783203125,327.9069519042969,7.04044771194458
Daniele,Orientation,1558440317313,309.5296325683594,328.8027038574219,8.33078670501709
Daniele,Orientation,1558440317319,308.8024597167969,326.8503723144531,5.911264896392822
Daniele,Orientation,1558440317320,306.22650146484375,326.8503723144531,5.911264896392822
Daniele,Orientation,1558440317323,303.62493896484375,324.7314147949219,1.9116995334625244
Daniele,Orientation,1558440317328,303.7559814453125,323.71527099609375,0.8632957935333252
Daniele,Orientation,1558440317332,302.14483642578125,324.21978759765625,0.3122354745864868
Daniele,Orientation,1558440317338,300.86322021484375,324.7978515625,0.0784873217344284
Daniele,Orientation,1558440317342,298.8655090332031,326.02813720703125,0.15319690108299255
Daniele,Orientation,1558440317348,297.0008544921875,326.743408203125,359.7012023925781
Daniele,Orientation,1558440317353,295.4378662109375,327.36187744140625,359.3472900390625
Daniele,Orientation,1558440317358,295.18060302734375,327.5119934082031,359.358642578125
Daniele,Orientation,1558440317362,295.8875732421875,327.01397705078125,359.21026611328125
Daniele,Orientation,1558440317370,297.5335998535156,325.7717590332031,358.8142395019531
Daniele,Orientation,1558440317373,299.5475769042969,324.5838623046875,358.8511657714844
Daniele,Orientation,1558440317378,301.8011169433594,323.9590148925781,359.76708984375
Daniele,Orientation,1558440317383,303.3835144042969,324.44940185546875,1.4302151203155518
Daniele,Orientation,1558440317384,303.53704833984375,324.44940185546875,1.4302151203155518
Daniele,Orientation,1558440317388,302.4875793457031,325.99365234375,2.5542519092559814
Daniele,Orientation,1558440317393,301.8493957519531,326.9810485839844,3.362514019012451
Daniele,Orientation,1558440317397,300.1440124511719,327.98162841796875,3.572357654571533
Daniele,Orientation,1558440317403,297.4603576660156,328.6637268066406,2.740790843963623
Daniele,Orientation,1558440317409,294.7351379394531,329.7264404296875,2.4268248081207275
Daniele,Orientation,1558440317412,292.12322998046875,330.62469482421875,1.9499784708023071
Daniele,Orientation,1558440317420,290.30487060546875,331.06951904296875,1.2779672145843506
Daniele,Orientation,1558440317422,288.36029052734375,331.4056396484375,0.22713766992092133
Daniele,Orientation,1558440317428,287.8622131347656,331.3735046386719,359.7082824707031
Daniele,Orientation,1558440317432,287.49920654296875,331.1745910644531,358.9769592285156
Daniele,Orientation,1558440317438,289.3504333496094,329.4378967285156,357.5075988769531
Daniele,Orientation,1558440317442,293.9687805175781,325.575927734375,355.6244201660156
Daniele,Orientation,1558440317447,300.3789367675781,320.75579833984375,354.9884338378906
Daniele,Orientation,1558440317448,299.06005859375,320.75579833984375,354.9884338378906
Daniele,Orientation,1558440317452,306.43023681640625,316.69232177734375,356.4236755371094
Daniele,Orientation,1558440317458,310.4952697753906,314.50177001953125,357.4504699707031
Daniele,Orientation,1558440317462,312.4841613769531,312.9747619628906,357.65130615234375
Daniele,Orientation,1558440317473,313.6712951660156,312.58099365234375,358.19244384765625
Daniele,Orientation,1558440317475,314.0944519042969,312.9611511230469,358.7716369628906
Daniele,Orientation,1558440317478,315.1025695800781,313.83306884765625,0.10830947011709213
Daniele,Orientation,1558440317482,315.73590087890625,315.3202819824219,1.6365770101547241
Daniele,Orientation,1558440317489,317.04266357421875,315.5398254394531,2.6254806518554688
Daniele,Orientation,1558440317492,318.1243591308594,318.15606689453125,5.2109599113464355
Daniele,Orientation,1558440317499,314.5264587402344,321.60113525390625,5.996474742889404
Daniele,Orientation,1558440317503,309.05255126953125,324.697998046875,5.997945785522461
Daniele,Orientation,1558440317509,306.68804931640625,326.2626953125,6.435234069824219
Daniele,Orientation,1558440317513,306.4320373535156,326.6112976074219,6.698464870452881
