,maxA,MVDeriv,meanA,varA,medA,minA
0,-19.70266673228787,-0.008883794920639818,-3.620043957503375,-59.352095586111176,-2.6434265654236277,0.528366927807622
1,-17.956174563173153,-0.00833091839315449,-2.8983118640310277,-57.14138897761961,-1.2823439590461874,0.6451771707995055
2,-18.418122392237443,-0.008831655578037566,-3.028250345650221,-56.11370146344213,-1.5711167501360457,-0.49587176661016397
3,-18.597446573022243,-0.008689183096035908,-3.2080967771108,-58.771388708203006,-1.893102867686613,1.1873892993943072
4,-19.75955112530574,-0.008597254231598406,-2.6412961301168494,-56.24556969663192,-0.934420472983696,-0.3001855643339817
5,-17.729155874245865,-0.008673320198733738,-3.569107039995057,-54.91274430918804,-2.7697967745423107,-0.2946530858120213
6,-19.84559204933901,-0.008559707987452318,-2.674042298210175,-58.09709814566976,-0.2535360430649618,0.3797926581076947
7,-17.30773400686758,-0.008958744665843904,-3.674562738135741,-55.055497205829205,-2.4827488697553193,0.340112212054307
8,-19.12743769633319,-0.008974494012513955,-3.232967032306119,-55.770330997875206,-2.179142693397562,0.7476138042290215
9,-19.4329905717033,-0.008654269417061662,-2.695249427721727,-51.59650952315046,-0.4665471284335805,-1.0056637874467125
10,-18.356181239016284,-0.008459176004545245,-3.799664294675736,-51.519663391626196,-2.5281693518150306,-0.9224318303612424
11,-19.36257299871557,-0.008976478887037188,-2.660590255277283,-54.97307184865883,-0.2639917810613319,-0.6092558829036263
12,-18.18487711361462,-0.009244073283030523,-3.2061510539997347,-50.039709164975136,-1.796903969404081,0.10642597610781923
13,-18.00817031008418,-0.009119908479729124,-3.201621955453776,-52.78468855822051,-1.7937860188572827,0.08043831215757091
14,-19.448146228357054,-0.008892827789967698,-3.263317497823884,-53.61080395639888,-1.8891303263050947,0.1576025911219121
15,-18.22888393666118,-0.007436472656028351,-3.0293245534374567,-52.9215810895207,-1.1564051129351913,-1.372914204840849
16,-18.79331629602119,-0.007394571405545183,-2.5433768901126133,-51.28614876718329,-0.5105694117758439,-0.707353508479375
17,-19.344769413778224,-0.008676450601465288,-3.397182185057586,-59.27565820128425,-1.8520330769153865,0.7739069271072108
18,-21.120410386766533,-0.0073515275980593,-3.3318509257223905,-63.78660420551904,-1.5598965390469424,0.9644307777105574
19,-20.12036044773273,-0.008295368691627012,-2.25635718310134,-59.49741165124886,0.2150433581176383,0.9454215126632848
20,-20.216955186314827,-0.009166813836663429,-3.4540103117525938,-62.232776732529956,-1.842522051517479,1.8275452310266562
21,-20.051580374886974,-0.009073907520158254,-2.796345926193869,-62.361928661554934,-0.6163320237359464,1.284551275752614
22,-21.432245173585166,-0.009146924639353892,-2.9202636983735477,-64.0811768292664,-1.0961765258745118,1.8208851328851852
23,-20.411403600819558,-0.009243023638771788,-2.8355878332869704,-61.41220710864029,-1.2332405274484959,1.325465582023737
24,-17.454818261291717,-0.00891105607559188,-3.1133786564857946,-59.52913332138387,-1.9162471412160684,1.4584080545406088
25,-20.150217576569556,-0.008880753423743325,-2.8871855708298817,-62.006688597223906,-0.7765217826242292,1.4941605259885904
26,-20.057152830395896,-0.00916868354340394,-1.938068104459612,-60.901538620687255,-0.10925114104250255,1.8571289247954432
27,-20.31743084447218,-0.00923157226983762,-3.451167844875613,-63.18061958170919,-2.108600731724918,1.0888139555829648
28,-21.052075228421717,-0.009004140586209793,-2.885527925343858,-65.08926215406595,-0.6616201948705438,1.9303524295443042
29,-21.773079214356684,-0.009288023807701424,-2.997182176397299,-62.452331057803825,-1.0364512254561546,1.3042198938808536
30,-20.475671241216844,-0.009209995710187019,-2.498735355877063,-62.903543748226994,-0.46659408878655917,1.7072563090515427
31,-22.601005274438347,-0.00930983382155019,-3.501736058475828,-64.89673141433312,-2.1495597649087372,1.9804278528533885
32,-23.074428006053285,-0.009048282572353837,-2.7579384387576784,-65.52430657400626,-0.09434594557968978,1.5849451499169964
33,-22.800482218048742,-0.00921897556340934,-3.5574823228385863,-65.06030112689275,-1.5487642489199906,1.662203884497651
34,-21.674783016287314,-0.009353533130274323,-2.6486589720017353,-64.64564623231473,-0.34943839089263307,1.636147006622286
35,-21.97042869241381,-0.009323893813786309,-3.0014764882242275,-65.26871446234652,-0.7680290815425224,1.115910932921432
36,-20.978833372335323,-0.00900848678967449,-3.181732529719916,-63.18495148565256,-1.5230345228546724,1.4713283852896266
37,-20.230770511474116,-0.009096087192348157,-3.0825676685988093,-57.833964759298595,-1.2627798186273829,0.7164432272447154
38,-21.218625167977642,-0.00918428252119532,-3.1601993130456325,-60.696073539534666,-1.2728046316898762,0.8153556168423739
39,-18.77580946865467,-0.009109772313046882,-2.7860332658891256,-55.710459681835026,-1.311619074724689,0.3840313868848906
40,-20.205546213068377,-0.009296651418052315,-3.8658799111871414,-58.47758239243193,-2.3761821835971055,0.21706729566985317
